precision,map,ndcg,auc,factors,regularization,iterations
0.030034622809497234,0.013427962266961854,0.017226855406773323,0.5129714132034249,100,0.05,20
0.030015293955625785,0.013417694490886613,0.017215577502752554,0.5129645953934681,100,0.01,20
0.030012877848891853,0.013416630015085635,0.017213456593019035,0.5129607294098438,100,0.1,20
0.02947166994049129,0.013400031903745302,0.01709835467506994,0.5127620299449215,100,0.1,10
0.0294958310078306,0.013385312350201605,0.017091894527254008,0.5127749398562695,100,0.01,10
0.02948616658089488,0.013378261626971236,0.01708613100336315,0.5127720198946719,100,0.05,10
0.020937980956246723,0.009219694911741565,0.011866860912142669,0.508927367817818,50,0.01,20
0.020925900422577068,0.009220545634448324,0.011865931529699931,0.5089247224972118,50,0.05,20
0.020921068209109207,0.009220758741971043,0.011862282300162943,0.5089148054516769,50,0.1,20
0.020544155558615957,0.00911729846461976,0.011713836102749802,0.5088046022768051,50,0.01,10
0.02050549785087306,0.009101606119682493,0.011693837697175287,0.5087890843448989,50,0.05,10
0.020507913957606993,0.009100163670833578,0.011693295313543153,0.5087919297253709,50,0.1,10
0.012235164500626979,0.005043431181542398,0.0066237079185150595,0.5050518989741108,20,0.01,20
0.012230332287159118,0.005042896213550579,0.0066216189275483265,0.5050484070321816,20,0.05,20
0.012225500073691255,0.005036033438671569,0.006614578436952155,0.5050437110667341,20,0.1,20
0.011947647799289182,0.004893838926385475,0.006448686113966902,0.5049518367294614,20,0.01,10
0.011937983372353456,0.004893492836438642,0.006446374653595759,0.5049464004055614,20,0.05,10
0.011913822305014147,0.0048944134876610845,0.006441635024180548,0.5049348977475003,20,0.1,10
